Macro_Topic;Topic_Order;Micro_Topic;Level;Level_Name;Function_Name;Trap1_Message;Trap2_Message;Trap3_Message;Wrong_Message
Ułamki dziesiętne;8;Mnożenie;3;Z dużą ilością zer;dec_mult_3;Brak przecinka lub w złym miejscu! Pamiętaj, jeśli z przodu wychodzą zera, też je liczysz przy przesuwaniu.;Zgubiłeś zera po przecinku przed samą liczbą.;Błąd mnożenia bazy liczbowej.;Przeanalizuj błąd i odzyskaj punkty w kolejnym zadaniu!
Ułamki dziesiętne;9;Dzielenie;1;Przez liczbę całkowitą (bez reszty);dec_div_1;Zgubiłeś przecinek! Podczas dzielenia pisemnego, wstawiasz przecinek w wyniku DOKŁADNIE w tym samym miejscu, co w dolnej liczbie.;Błąd obliczeniowy.;Zapomniałeś o zera na początku.;Przeanalizuj błąd i odzyskaj punkty w kolejnym zadaniu!
Ułamki dziesiętne;9;Dzielenie;2;Przez liczbę całkowitą (z resztą);dec_div_2;Wynik wyszedł z resztą! Pamiętaj, że w ułamkach dziesiętnych zawsze możesz dopisać darmowe '0' na samym końcu i ciągnąć dzielenie dalej.;Brakuje zera w wyniku przed cyframi!;Przecinek w złym miejscu.;Przeanalizuj błąd i odzyskaj punkty w kolejnym zadaniu!
Ułamki dziesiętne;9;Dzielenie;3;Przez ułamek dziesiętny (proste);dec_div_3;Nie wolno dzielić przez ułamek! Najpierw pozbądź się przecinka z dzielnika, przesuwając go w prawo w OBU liczbach, np. 2,4 : 0,2 = 24 : 2;Błąd mnożenia licznika i dzielnika.;Błąd miejsca dziesiętnego po rozszerzeniu.;Przeanalizuj błąd i odzyskaj punkty w kolejnym zadaniu!
Ułamki dziesiętne;9;Dzielenie;4;Przez ułamek dziesiętny (zaawansowane);dec_div_4;Przesunąłeś przecinek tylko w jednej liczbie. Pamiętaj, jeśli dzielnik przesuwasz o 2 w prawo, pierwszą liczbę (dzielną) TEŻ musisz przesunąć o 2.;Nie masz już gdzie przesunąć? Zamiast kroku dodawaj na końcu zera (np. z 5 robisz 50).;Błąd dzielenia pisemnego po przesunięciu przecinka.;Przeanalizuj błąd i odzyskaj punkty w kolejnym zadaniu!
Ułamki dziesiętne;10;Potęgowanie;1;Kwadrat ułamka dziesiętnego;dec_pow_1;Mnożysz to przez 2, a to jest kwadrat (do potęgi drugiej). Mnożymy liczbę przez SAMĄ SIEBIE (np. 0.3 * 0.3).;Błąd w stawianiu przecinka. 0.3 ma 1 miejsce. 0.3 * 0.3 musi mieć 1+1=2 miejsca po przecinku (czyli np. 0.09).;Zapomniałeś zera z przodu (np. 0.04 to nie to samo co 0.4).;Przeanalizuj błąd i odzyskaj punkty w kolejnym zadaniu!
Ułamki dziesiętne;11;Kolejność wykonywania działań;1;Kolejność Podstawowa;dec_order_1;Policzyłeś od lewej do prawej. Zawsze najpierw mnożenie i dzielenie!;Dodałeś lub odjąłeś wszystkie liczby, zapominając o mnożeniu.;Ostatnie działanie wykonałeś przed pierwszym - zła kolejność!;Przeanalizuj błąd i odzyskaj punkty!
Ułamki dziesiętne;11;Kolejność wykonywania działań;2;Pojedyncze Nawiasy;dec_order_2;Zignorowałeś nawias! Wykonaj go w pierwszej kolejności.;Pomyliłeś znak na samym końcu działania.;Policzyłeś od lewej do prawej ignorując nawias.;Przeanalizuj błąd i odzyskaj punkty!
Ułamki dziesiętne;11;Kolejność wykonywania działań;3;Potęgi i Podstawy;dec_order_3;Zrobiłeś mnożenie przed potęgowaniem! Najpierw potęguj.;Pomnożyłeś przez 2 zamiast podnieść do kwadratu!;Zignorowałeś potęgę i po prostu przepisałeś liczbę.;Przeanalizuj błąd i odzyskaj punkty!
Ułamki dziesiętne;11;Kolejność wykonywania działań;4;Złożone Działania;dec_order_4;Rozwiązałeś nawiasy, ale policzyłeś resztę w złej kolejności.;Zignorowałeś kolejność działań i połączyłeś liczby błędnie.;Skupiłeś się na drugiej części i zapomniałeś o pierwszej.;Przeanalizuj błąd i odzyskaj punkty!
Ułamki dziesiętne;11;Kolejność wykonywania działań;5;Potęgowanie Nawiasu;dec_order_5;Podniosłeś do kwadratu obie liczby osobno! Najpierw środek, potem potęga.;Pomnożyłeś wynik nawiasu przez 2 zamiast potęgować.;Pomyliłeś znak poza nawiasem.;Przeanalizuj błąd i odzyskaj punkty!
Ułamki dziesiętne;11;Kolejność wykonywania działań;6;Boss Level;dec_order_6;Zrobiłeś mnożenie przed potęgą nawiasu! Najpierw potęga, potem mnożenie.;Pomnożyłeś nawias przez 2 zamiast potęgować.;Podniosłeś do kwadratu liczby z nawiasu osobno.;Przeanalizuj błąd i odzyskaj punkty!
Ułamki dziesiętne;12;Jednostki;1;Zamiana na mniejsze (mm, cm);dec_unit_1;Zamieniasz duże na małe (np. z centymetrów na milimetry), powinieneś POMNOŻYĆ przez odpowiednią liczbę.;Błąd przesuwania przecinka - np. 1cm to 10mm, więc przesuwasz o jedno w prawo.;Zła wielkość jednostki konwersyjnej.;Przeanalizuj błąd i odzyskaj punkty w kolejnym zadaniu!
Ułamki dziesiętne;12;Jednostki;2;Zamiana na większe (g, kg);dec_unit_2;Zamieniasz z małych na duże, tu trzeba PODZIELIĆ przez odpowiednią wielkość (np. kg to 1000g).;Przesunięty przecinek w złą stronę (np. na prawo). Dzieląc zawsze idziemy w lewo.;Pomyłka w rzędach jednostek (np. myślisz że to 100, a to 1000).;Przeanalizuj błąd i odzyskaj punkty w kolejnym zadaniu!
Ułamki dziesiętne;12;Jednostki;3;Jednostki pieniężne i wagowe (mieszane);dec_unit_3;1 złoty to 100 groszy. Oznacza to dwa miejsca po przecinku (np. 20gr = 0.20 zł).;Podałeś złą ilość wagową.;Błąd w konwersji.;Przeanalizuj błąd i odzyskaj punkty w kolejnym zadaniu!
Ułamki dziesiętne;13;Działania mieszane;1;Zwykłe dziesiętne jako ułamek;dec_mix_1;Gdy masz zmieszane ułamki zwykłe i dziesiętne w jednym działaniu, zamień wszystkie na jeden z tych typów, najlepiej ułamek zwykły.;Błąd przy skracaniu.;Zły wspólny mianownik.;Przeanalizuj błąd i odzyskaj punkty w kolejnym zadaniu!
Ułamki dziesiętne;13;Działania mieszane;2;Ułamki w dzieleniu dziesiętnym;dec_mix_2;Podpowiedź: zamień ułamek zwykły na dziesiętny - tu powinno się dać prosto.;Błąd w operacjach dziesiętnych.;Źle zamieniony ułamek zwykły.;Przeanalizuj błąd i odzyskaj punkty w kolejnym zadaniu!
Ułamki dziesiętne;13;Działania mieszane;3;Z nawiasami i różnymi typami;dec_mix_3;Uporządkuj! Najpierw nawiasy, najlepiej wykonane wewnątrz jednego typu np. ułamków zwykłych.;Błąd rachunkowy.;Złe potęgowanie w działaniu mieszanym.;Przeanalizuj błąd i odzyskaj punkty w kolejnym zadaniu!
